순번,판매자명,구분,상품명,부제,시리즈명,시리즈번호,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,대여가,정가,판매가,할인액,할인율,마일리지,출간일,분야,수량,장바구니에 담은 날짜
546,알라딘 직배송,국내도서,모비 딕,,,,8972883905,9.79E+12,3840,작가정신,"허먼 멜빌 지음, 김석희 옮김",0,"22,000","19,800","2,200",10%,"1,100점",20110516,국내도서>소설/시/희곡>영미소설,1,2021-09-22
547,알라딘 직배송,국내도서,천 개의 찬란한 태양,,,,8972754013,9.79E+12,3840,현대문학,"할레드 호세이니 지음, 왕은철 옮김",0,"13,500","12,150","1,350",10%,670점,20071125,국내도서>소설/시/희곡>영미소설,1,2021-09-22
548,알라딘 직배송,국내도서,동급생,,,,8932918147,9.79E+12,3840,열린책들,"프레드 울만 지음, 황보석 옮김",0,"11,800","10,620","1,180",10%,590점,20170210,국내도서>소설/시/희곡>영미소설,1,2021-09-22
549,알라딘 직배송,국내도서,내 영혼이 따뜻했던 날들,,,,8955824955,9.79E+12,3840,아름드리미디어,"포리스트 카터 지음, 조경숙 옮김",0,"15,000","13,500","1,500",10%,750점,20140530,국내도서>소설/시/희곡>영미소설,1,2021-09-22
550,알라딘 직배송,국내도서,"에비 드레이크, 다시 시작하다",,,,K772734204,9.79E+12,3840,리프,"린다 홈스 지음, 이한이 옮김",0,"15,000","13,500","1,500",10%,750점,20210906,국내도서>소설/시/희곡>영미소설,1,2021-09-22
551,알라딘 직배송,국내도서,패싱,,문학동네 세계문학전집 199,15441,8954681654,9.79E+12,4840,문학동네,"넬라 라슨 지음, 박경희 옮김",0,"12,000","10,800","1,200",10%,600점,20210812,국내도서>소설/시/희곡>영미소설,1,2021-09-22
552,알라딘 직배송,국내도서,구운몽,,민음사 세계문학전집 72,13679,8937460726,9.79E+12,4810,민음사,"김만중 지음, 송성욱 옮김",0,"8,000","7,200",800,10%,400점,20030125,국내도서>소설/시/희곡>우리나라 옛글>산문,1,2021-09-22
553,알라딘 직배송,국내도서,최성윤 교수와 함께 읽는 허생전 / 양반전,,서연비람 고전 문학 전집 5,647961,K692534324,9.79E+12,4810,서연비람,"박지원 지음, 최성윤 엮음",0,"12,000","10,800","1,200",10%,600점,20190120,국내도서>소설/시/희곡>우리나라 옛글>산문,1,2021-09-22
554,알라딘 직배송,국내도서,인간 실격,,민음사 세계문학전집 103,13679,893746103X,9.79E+12,4830,민음사,"다자이 오사무 지음, 김춘미 옮김",0,"8,000","7,200",800,10%,400점,20040515,국내도서>소설/시/희곡>일본소설>1950년대 이전 일본소설,1,2021-09-22
555,알라딘 직배송,국내도서,설국,,민음사 세계문학전집 61,13679,8937460610,9.79E+12,4830,민음사,"가와바타 야스나리 지음, 유숙자 옮김",0,"7,000","6,300",700,10%,350점,20020128,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,2021-09-22
556,알라딘 직배송,국내도서,깊은 강,,민음사 세계문학전집 160,13679,8937461609,9.79E+12,4800,민음사,"엔도 슈사쿠 지음, 유숙자 옮김",0,"10,000","9,000","1,000",10%,500점,20071030,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,2021-09-22
557,알라딘 직배송,국내도서,"최애, 타오르다",,,,K732733435,9.79E+12,3830,미디어창비,"우사미 린 지음, 이소담 옮김",0,"14,000","12,600","1,400",10%,700점,20210805,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,2021-09-22
558,알라딘 직배송,국내도서,여름은 오래 그곳에 남아,,블랙 앤 화이트 시리즈 72,6260,8934972203,9.79E+12,3830,비채,"마쓰이에 마사시 지음, 김춘미 옮김",0,"14,000","12,600","1,400",10%,700점,20160819,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,2021-09-22
559,알라딘 직배송,국내도서,방황하는 칼날,,,,K332733920,9.79E+12,3830,하빌리스,"히가시노 게이고 지음, 민경욱 옮김",0,"17,000","15,300","1,700",10%,850점,20210726,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,2021-09-22
560,알라딘 직배송,국내도서,공중그네 (리커버 특별판),,,,895660102X,9.79E+12,,은행나무,"오쿠다 히데오 지음, 이영미 옮김",0,"13,800","12,420","1,380",10%,690점,20050115,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,2021-09-22
561,알라딘 직배송,국내도서,나미야 잡화점의 기적,,,,K912736875,9.79E+12,3830,현대문학,"히가시노 게이고 지음, 양윤옥 옮김",0,"14,800","13,320","1,480",10%,740점,20121219,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,2021-09-22
562,알라딘 직배송,국내도서,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",,,,K362732558,9.79E+12,3830,모모,"이치조 미사키 지음, 권영주 옮김",0,"14,000","12,600","1,400",10%,700점,20210621,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,2021-09-22
563,알라딘 직배송,국내도서,일인칭 단수,,,,8954675980,9.79E+12,3830,문학동네,"무라카미 하루키 지음, 홍은주 옮김",0,"14,500","13,050","1,450",10%,720점,20201126,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,2021-09-22
564,알라딘 직배송,국내도서,상실의 시대,,,,8970123695,9.79E+12,3830,문학사상사,"무라카미 하루키 지음, 유유정 옮김",0,"15,000","13,500","1,500",10%,750점,20001002,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,2021-09-22
565,알라딘 직배송,국내도서,노르웨이의 숲,,,,8937434482,9.79E+12,3830,민음사,"무라카미 하루키 지음, 양억관 옮김",0,"15,000","13,500","1,500",10%,750점,20170807,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,2021-09-22
566,알라딘 직배송,국내도서,무기모토 산포는 오늘이 좋아,산포의 개성 넘치는 일상에 취하다!,,,K962733921,9.79E+12,3830,㈜소미미디어,"스미노 요루 지음, 이소담 옮김",0,"14,800","13,320","1,480",10%,740점,20210727,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,2021-09-22
567,알라딘 직배송,국내도서,마술 피리,동화 속 범죄사건 추리 파일,,,K482734023,9.79E+12,3820,검은숲,"찬호께이 지음, 문현선 옮김",0,"17,800","16,020","1,780",10%,890점,20210915,국내도서>소설/시/희곡>추리/미스터리소설>기타국가 추리/미스터리소설,1,2021-09-22
568,알라딘 직배송,국내도서,셜록 홈즈 전집 세트 - 전10권,,셜록 홈즈 전집,77484,897604147X,9.79E+12,3840,문예춘추사,"아서 코난 도일 지음, 박상은 옮김",0,"43,000","38,700","4,300",10%,"2,150점",20121210,국내도서>소설/시/희곡>추리/미스터리소설>영미 추리/미스터리소설,1,2021-09-22
569,알라딘 직배송,국내도서,형사 부스지마 최후의 사건,,스토리콜렉터 97,22173,K532734312,9.79E+12,3830,북로드,"나카야마 시치리 지음, 김윤수 옮김",0,"13,800","12,420","1,380",10%,690점,20210915,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
570,알라딘 직배송,국내도서,루팡의 딸 2,,루팡의 딸 2,996398,K942733501,9.79E+12,3830,북플라자,"요코제키 다이 지음, 권하영 옮김",0,"15,000","13,500","1,500",10%,750점,20210716,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
571,알라딘 직배송,국내도서,달콤한 숨결,,블랙 앤 화이트 시리즈 96,6260,8934949074,9.79E+12,3830,비채,"유즈키 유코 지음, 민경욱 옮김",0,"14,800","13,320","1,480",10%,740점,20210906,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
572,알라딘 직배송,국내도서,기담 룸,,,,K262734924,9.79E+12,3830,모모,"하야미네 가오루 지음, 이연승 옮김",0,"14,000","12,600","1,400",10%,700점,20210915,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
573,알라딘 직배송,국내도서,버터,,,,K372734780,9.79E+12,3830,이봄,"유즈키 아사코 지음, 권남희 옮김",0,"17,800","16,020","1,780",10%,890점,20210825,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
574,알라딘 직배송,국내도서,백조와 박쥐,,,,K902733648,9.79E+12,3830,현대문학,"히가시노 게이고 지음, 양윤옥 옮김",0,"18,000","16,200","1,800",10%,900점,20210816,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
575,알라딘 직배송,국내도서,요리코를 위해 (스페셜 리커버 에디션),,,,K212734960,9.79E+12,,모모,"노리즈키 린타로 지음, 이기웅 옮김",0,"15,000","13,500","1,500",10%,750점,20200304,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
576,알라딘 직배송,국내도서,용의자 X의 헌신,제134회 나오키상 수상작,,,8990982707,9.79E+12,3830,재인,"히가시노 게이고 지음, 양억관 옮김",0,"16,800","15,120","1,680",10%,840점,20170830,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
577,알라딘 직배송,국내도서,스키마와라시,,,,K382733399,9.79E+12,3830,내친구의서재,"온다 리쿠 지음, 강영혜 옮김",0,"18,000","16,200","1,800",10%,900점,20210719,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
578,알라딘 직배송,국내도서,살인범 협박 시 주의사항,JM북스,,,K362734784,9.79E+12,3830,제우미디어,"후지타 요시나가 지음, 이나라 옮김",0,"15,000","13,500","1,500",10%,750점,20210825,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
579,알라딘 직배송,국내도서,요네자와 호노부와 고전부,,고전부 시리즈,66244,8954680399,9.79E+12,3830,엘릭시르,"요네자와 호노부 지음, 김선영 옮김",0,"14,800","13,320","1,480",10%,740점,20210709,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
580,알라딘 직배송,국내도서,비밀,,,,K972733399,9.79E+12,3830,㈜소미미디어,"히가시노 게이고 지음, 양윤옥 옮김",0,"16,800","15,120","1,680",10%,840점,20210721,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
581,알라딘 직배송,국내도서,하멜른의 유괴마,,이누카이 하야토 형사 시리즈  3,1003055,K222734162,9.79E+12,3830,블루홀식스(블루홀6),"나카야마 시치리 지음, 문지원 옮김",0,"16,000","14,400","1,600",10%,800점,20210831,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,1,2021-09-22
582,알라딘 직배송,국내도서,조선의 형사들,사라진 기와,케이 미스터리 k_mystery,994565,K762734219,9.79E+12,3810,몽실북스,정명섭 지음,0,"14,500","13,050","1,450",10%,720점,20210910,국내도서>소설/시/희곡>추리/미스터리소설>한국 추리/미스터리소설,1,2021-09-22
583,알라딘 직배송,국내도서,밤의 여행자들,,오늘의 젊은 작가 3,60863,8937473038,9.79E+12,4810,민음사,윤고은 지음,0,"13,000","11,700","1,300",10%,650점,20131011,국내도서>소설/시/희곡>추리/미스터리소설>한국 추리/미스터리소설,1,2021-09-22
584,알라딘 직배송,국내도서,마지막 소년,,,,8954681034,9.79E+12,3810,엘릭시르,레이먼드 조 지음,0,"16,000","14,400","1,600",10%,800점,20210827,국내도서>소설/시/희곡>추리/미스터리소설>한국 추리/미스터리소설,1,2021-09-22
585,알라딘 직배송,국내도서,걸리버 여행기 (무삭제 완역본),,현대지성 클래식 27,112548,K422635457,9.79E+12,3840,현대지성,"조너선 스위프트 지음, 이종인 옮김",0,"11,500","10,350","1,150",10%,570점,20190904,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설,1,2021-09-22
586,알라딘 직배송,국내도서,해리 포터와 마법사의 돌 (미나리마 에디션),,,,8983928204,9.79E+12,3840,문학수첩,"J.K. 롤링 지음, 미나리마 그림, 강동혁 옮김",0,"33,000","29,700","3,300",10%,"1,650점",20201020,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설,1,2021-09-22
587,알라딘 직배송,국내도서,해리 포터와 혼혈왕자 2 (양장),,해리 포터 시리즈 (20주년 개정판),798848,898392800X,9.79E+12,4840,문학수첩,"J.K. 롤링 지음, 강동혁 옮김",0,"21,000","18,900","2,100",10%,"1,050점",20200120,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설,1,2021-09-22
588,알라딘 직배송,국내도서,해리 포터 시리즈 1~4편 박스 세트 - 전10권 (무선),해리 포터와 아즈카반의 죄수 1~2 + 해리 포터와 불의 잔 1~4 + 해리 포터와 마법사의 돌 1~2 + 해리 포터와 비밀의 방 1~2,해리 포터 시리즈 (20주년 개정판),798848,8983927720,9.79E+12,,문학수첩,"J.K. 롤링 지음, 강동혁 옮김",0,"93,000","83,700","9,300",10%,"4,650점",20191119,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설,1,2021-09-22
589,알라딘 직배송,국내도서,해리 포터 시리즈 5~7편 박스 세트 - 전13권 (무선),해리 포터와 불사조 기사단 1~5 + 해리 포터와 혼혈왕자 1~4 + 해리 포터와 죽음의 성물 1~4,해리 포터 시리즈 (20주년 개정판),798848,8983928093,9.79E+12,,문학수첩,"J.K. 롤링 지음, 강동혁 옮김",0,"123,500","111,150","12,350",10%,"6,170점",20200228,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설,1,2021-09-22
590,알라딘 직배송,국내도서,해리 포터와 마법사의 돌 1 (무선),,해리 포터 시리즈 (20주년 개정판),798848,8983927623,9.79E+12,4840,문학수첩,"J.K. 롤링 지음, 강동혁 옮김",0,"9,000","8,100",900,10%,450점,20191119,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설,1,2021-09-22
591,알라딘 직배송,국내도서,"칵테일, 러브, 좀비",,안전가옥 쇼-트 2,855178,K692639764,9.79E+12,3810,안전가옥,조예은 지음,0,"10,000","9,000","1,000",10%,500점,20200413,국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설,1,2021-09-22
592,알라딘 직배송,국내도서,달러구트 꿈 백화점 2,단골손님을 찾습니다,달러구트 꿈 백화점,996631,K962733015,9.79E+12,3810,팩토리나인,이미예 지음,0,"13,800","12,420","1,380",10%,690점,20210727,국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설,1,2021-09-22
593,알라딘 직배송,국내도서,달러구트 꿈 백화점,주문하신 꿈은 매진입니다,달러구트 꿈 백화점,996631,K392630952,9.79E+12,3810,팩토리나인,이미예 지음,0,"13,800","12,420","1,380",10%,690점,20200708,국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설,1,2021-09-22
594,알라딘 직배송,국내도서,단명소녀 투쟁기,1회 박지리문학상 수상작,,,K832733796,9.79E+12,3810,사계절,현호정 지음,0,"12,000","10,800","1,200",10%,600점,20210715,국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설,1,2021-09-22
595,알라딘 직배송,국내도서,위저드 베이커리,제2회 창비 청소년문학상 수상작,,,8936433695,9.79E+12,3810,창비,구병모 지음,0,"12,800","11,520","1,280",10%,640점,20090327,국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설,1,2021-09-22
596,알라딘 직배송,국내도서,기괴한 레스토랑 1,정원사의 선물,,,K422734112,9.79E+12,3810,팩토리나인,김민정 지음,0,"14,000","12,600","1,400",10%,700점,20210915,국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설,1,2021-09-22
597,알라딘 직배송,국내도서,마담 보바리,,문학동네 세계문학전집 200,15441,8954681700,9.79E+12,4860,문학동네,"귀스타브 플로베르 지음, 김남주 옮김",0,"14,500","13,050","1,450",10%,720점,20210819,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
598,알라딘 직배송,국내도서,구토,,에디터스 컬렉션 10,633092,8931021518,9.79E+12,3860,문예출판사,"장 폴 사르트르 지음, 임호경 옮김",0,"13,000","11,700","1,300",10%,650점,20201231,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
599,알라딘 직배송,국내도서,어린왕자 (소프트커버 에디션),개정판,,,8931021291,9.79E+12,3860,문예출판사,"생 텍쥐페리 지음, 전성자 옮김",0,"8,000","7,200",800,10%,400점,20200922,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
600,알라딘 직배송,국내도서,페스트,,민음사 세계문학전집 267,13679,8937462672,9.79E+12,4800,민음사,"알베르 카뮈 지음, 김화영 옮김",0,"13,000","11,700","1,300",10%,650점,20110325,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
601,알라딘 직배송,국내도서,어린왕자 : 0629 에디션,생텍쥐페리 탄생 120주년 기념판,,,8931021208,9.79E+12,3860,문예출판사,"생 텍쥐페리 지음, 전성자 옮김",0,"9,800","8,820",980,10%,490점,20200629,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
602,알라딘 직배송,국내도서,초판본 어린 왕자 (양장),1943년 오리지널 초판본 표지디자인,더스토리 초판본 시리즈,103666,K092534361,9.79E+12,3860,더스토리,"앙투안 드 생텍쥐페리 지음, 김미정 옮김",0,"9,800","8,820",980,10%,490점,20180903,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
603,알라딘 직배송,국내도서,페스트 (리커버 특별판),,문학동네 세계문학전집 200번 출간 기념 리커버 컬렉션,1004124,8954639658,9.79E+12,4860,문학동네,"알베르 카뮈 지음, 유호식 옮김",0,"15,000","13,500","1,500",10%,750점,20210813,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
604,알라딘 직배송,국내도서,이방인,,민음사 세계문학전집 266,13679,8937443848,9.79E+12,,민음사,"알베르 카뮈 지음, 김화영 옮김",0,"9,000","8,100",900,10%,450점,20190902,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
605,알라딘 직배송,국내도서,브람스를 좋아하세요...,,민음사 세계문학전집 179,13679,893746179X,9.79E+12,4800,민음사,"프랑수아즈 사강 지음, 김남주 옮김",0,"7,500","6,750",750,10%,370점,20080502,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
606,알라딘 직배송,국내도서,어린 왕자 (회전목마 팝업북),출간 75주년 기념 수량 한정 특별판,,,8931022050,9.79E+12,7860,문예출판사,"생 텍쥐페리 지음, 전성자 옮김, 제라르 로 모나코",0,"19,900","17,910","1,990",10%,990점,20210917,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
607,알라딘 직배송,국내도서,"필사의 힘 : 생텍쥐페리처럼, 어린 왕자 따라쓰기",,월드 클래식 라이팅 북 World Classic Writing Book 1,93128,K022433127,9.79E+12,4810,미르북컴퍼니,앙투안 드 생텍쥐페리 원작,0,"12,800","11,520","1,280",10%,640점,20150710,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
608,알라딘 직배송,국내도서,초판본 페스트 (양장),1947년 오리지널 초판본 표지디자인,더스토리 초판본 시리즈,103666,K792638582,9.79E+12,3860,더스토리,"알베르 카뮈 지음, 변광배 옮김",0,"13,800","12,420","1,380",10%,690점,20200320,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
609,알라딘 직배송,국내도서,몬테크리스토 백작 1,,동서문화사 세계문학전집 59,116819,8949715244,9.79E+12,4800,동서문화동판(동서문화사),"알렉상드르 뒤마 지음, 이희승맑시아 옮김",0,"12,000","10,800","1,200",10%,600점,20161130,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
610,알라딘 직배송,국내도서,몬테크리스토 백작 3,,동서문화사 세계문학전집 61,116819,8949715260,9.79E+12,4800,동서문화동판(동서문화사),"알렉상드르 뒤마 지음, 이희승맑시아 옮김",0,"12,000","10,800","1,200",10%,600점,20161130,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
611,알라딘 직배송,국내도서,잃어버린 시간을 찾아서 10,갇힌 여인 2,,,8937485702,9.79E+12,4860,민음사,"마르셀 프루스트 지음, 김희영 옮김",0,"16,000","14,400","1,600",10%,800점,20201113,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
612,알라딘 직배송,국내도서,어린 왕자 (팝업북),,,,8954650724,9.79E+12,7860,문학동네,"생 텍쥐페리 지음, 김화영 옮김, 제라르 로 모나코 만듦",0,"38,000","34,200","3,800",10%,"1,900점",20180831,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
613,알라딘 직배송,국내도서,초판본 이방인,1944년 오리지널 초판본 표지디자인,더스토리 초판본 시리즈,103666,K342638522,9.79E+12,3860,더스토리,"알베르 카뮈 지음, 최헵시바 옮김",0,"9,800","8,820",980,10%,490점,20200330,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
614,알라딘 직배송,국내도서,레미제라블,,,,K162635338,9.79E+12,3860,밀리언셀러,"빅토르 위고 지음, 나혜란 옮김",0,"12,000","10,800","1,200",10%,600점,20190725,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
615,알라딘 직배송,국내도서,페스트 (무선),,문학동네 세계문학전집 133,15441,8954638899,9.79E+12,4860,문학동네,"알베르 카뮈 지음, 유호식 옮김",0,"14,000","12,600","1,400",10%,700점,20151226,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
616,알라딘 직배송,국내도서,좁은 문 / 전원교향곡 / 배덕자,,민음사 세계문학전집 336,13679,8937463369,9.79E+12,4800,민음사,"앙드레 지드 지음, 동성식 옮김",0,"14,000","12,600","1,400",10%,700점,20150731,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
617,알라딘 직배송,국내도서,태평양을 막는 제방,,민음사 세계문학전집 387,13679,8937463873,9.79E+12,4800,민음사,"마르그리트 뒤라스 지음, 윤진 옮김",0,"14,000","12,600","1,400",10%,700점,20210827,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
618,알라딘 직배송,국내도서,애린 왕자,갱상도 (Gyeongsang-do Dialect),,,K062737858,9.79E+12,,이팝,"앙투안 드 생텍쥐페리 저자, 최현애 역자",0,"9,900","8,910",990,10%,490점,20210105,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
619,알라딘 직배송,국내도서,신기한 구름,,,,K492734813,9.79E+12,3860,북포레스트,"프랑수아즈 사강 지음, 최정수 옮김",0,"14,000","12,600","1,400",10%,700점,20210910,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
620,알라딘 직배송,국내도서,패주,,문학동네 세계문학전집 201,15441,8954681816,9.79E+12,4860,문학동네,"에밀 졸라 지음, 유기환 옮김",0,"18,500","16,650","1,850",10%,920점,20210820,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
621,알라딘 직배송,국내도서,문명 1,,고양이 시리즈,985682,8932921032,9.79E+12,4860,열린책들,"베르나르 베르베르 지음, 전미연 옮김",0,"14,800","13,320","1,480",10%,740점,20210530,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
622,알라딘 직배송,국내도서,문명 2,,고양이 시리즈,985682,8932921040,9.79E+12,4860,열린책들,"베르나르 베르베르 지음, 전미연 옮김",0,"14,800","13,320","1,480",10%,740점,20210530,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
623,알라딘 직배송,국내도서,어린 왕자,,,,8932917248,9.79E+12,3860,열린책들,"앙투안 드 생텍쥐페리 지음, 황현산 옮김",0,"9,800","8,820",980,10%,490점,20151020,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
624,알라딘 직배송,국내도서,나는 나의 밤을 떠나지 않는다,,프랑스 여성작가 소설 1,1007025,K742733023,9.79E+12,4860,열림원,"아니 에르노 지음, 김선희 옮김",0,"12,000","10,800","1,200",10%,600점,20210722,국내도서>소설/시/희곡>프랑스소설,1,2021-09-22
625,알라딘 직배송,국내도서,모순,개정판,,,8998441012,9.79E+12,3810,쓰다,양귀자 지음,0,"13,000","11,700","1,300",10%,650점,20130401,국내도서>소설/시/희곡>한국소설>2000년대 이전 한국소설,1,2021-09-22
626,알라딘 직배송,국내도서,마당 깊은 집,,문지클래식 2,644996,8932034575,9.79E+12,4810,문학과지성사,김원일 지음,0,"14,000","12,600","1,400",10%,700점,20180903,국내도서>소설/시/희곡>한국소설>2000년대 이전 한국소설,1,2021-09-22
627,알라딘 직배송,국내도서,난장이가 쏘아올린 작은 공,,,,899515120X,9.79E+12,3810,이성과힘,조세희 지음,0,"11,000","9,900","1,100",10%,550점,20000710,국내도서>소설/시/희곡>한국소설>2000년대 이전 한국소설,1,2021-09-22
628,알라딘 직배송,국내도서,아홉살 인생,,현북스 소설 1,884735,K072639416,9.79E+12,3810,현북스,위기철 지음,0,"12,000","10,800","1,200",10%,600점,20200506,국내도서>소설/시/희곡>한국소설>2000년대 이전 한국소설,1,2021-09-22
629,알라딘 직배송,국내도서,내게 무해한 사람,,,,8954651828,9.79E+12,3810,문학동네,최은영 지음,0,"13,500","12,150","1,350",10%,670점,20180630,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1,2021-09-22
630,알라딘 직배송,국내도서,도서관 런웨이,,현대문학 핀 시리즈 소설선 36,636413,K762734688,9.79E+12,4810,현대문학,윤고은 지음,0,"14,000","12,600","1,400",10%,700점,20210826,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1,2021-09-22
631,알라딘 직배송,국내도서,쇼코의 미소,,,,8954641636,9.79E+12,3810,문학동네,최은영 지음,0,"12,000","10,800","1,200",10%,600점,20160707,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1,2021-09-22
632,알라딘 직배송,국내도서,소설 보다 : 여름 2021,,소설 보다,652042,8932038678,9.79E+12,3810,문학과지성사,서이제.이서수.한정현 지음,0,"3,500","3,150",350,10%,170점,20210608,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1,2021-09-22
633,알라딘 직배송,국내도서,일주일,,트리플 8,953517,8954447546,9.79E+12,4810,자음과모음,최진영 지음,0,"12,000","10,800","1,200",10%,600점,20210901,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1,2021-09-22
634,알라딘 직배송,국내도서,구의 증명,,은행나무 노벨라 7,79814,8956608555,9.79E+12,3810,은행나무,최진영 지음,0,"8,000","7,200",800,10%,400점,20150330,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1,2021-09-22
635,알라딘 직배송,국내도서,피프티 피플,"2017년 제50회 한국일보문학상 수상작, 개정판",,,8936434543,9.79E+12,3810,창비,정세랑 지음,0,"14,000","12,600","1,400",10%,700점,20210813,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1,2021-09-22
636,알라딘 직배송,국내도서,소년이 온다,,,,8936434128,9.79E+12,3810,창비,한강 지음,0,"14,000","12,600","1,400",10%,700점,20140519,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1,2021-09-22
637,알라딘 직배송,국내도서,이만큼 가까이,"제7회 창비장편소설상 수상작, 개정판",,,8936434535,9.79E+12,3810,창비,정세랑 지음,0,"14,000","12,600","1,400",10%,700점,20210820,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1,2021-09-22
638,알라딘 직배송,국내도서,완벽한 생애,,소설Q,690709,8936438484,9.79E+12,3810,창비,조해진 지음,0,"14,000","12,600","1,400",10%,700점,20210915,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1,2021-09-22
639,알라딘 직배송,국내도서,0%를 향하여,,,,8932038937,9.79E+12,3810,문학과지성사,서이제 지음,0,"14,000","12,600","1,400",10%,700점,20210901,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1,2021-09-22
640,알라딘 직배송,국내도서,아몬드 (양장),제10회 창비 청소년문학상 수상작,,,8936434268,9.79E+12,3810,창비,손원평 지음,0,"12,000","10,800","1,200",10%,600점,20170331,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1,2021-09-22
